Periodo,Total,Edific,Agua_R_S,Elect_C,Transp,Petr_p,Otras_C
Enero,32009409,13770575,1623955,1941858,7975198,2954214,3743609
Febrero,32399132,14408547,1618714,2327723,7847552,2561046,3635550
Marzo,32816703,15170211,1642903,1987687,7469457,2684227,3862218
Abril,32949418,14385290,1570196,2239179,8035013,3125409,3594331
Mayo,34395956,14936320,1696637,2068256,7935101,3391363,4368279
Junio,34439370,15207796,1333036,2404024,8194718,3045422,4254374
Julio,34311032,15096989,1336288,2247686,8082623,3662851,3884595
Agosto,35726496,15823461,1501914,2311557,8607394,3478260,4003910
Septiembre,36966081,15627620,1654065,2558804,9210182,3303940,4611470
Octubre,38414008,17143154,1656993,2451151,9251712,3650747,4260251
Noviembre,39845589,17537845,1891683,2807673,9674367,4055972,3878049
Diciembre,40698244,17625150,1990597,2501031,10000738,4080317,4500411
Enero,33486069,13788801,1586975,2182153,8201429,4097260,3629451
Febrero,34035105,14918474,1406638,2227247,7868207,4200136,3414403
Marzo,35067016,16013543,1595492,2144162,7060548,4286609,3966662
Abril,33840154,14886576,1467950,2359145,7175340,4213445,3737698
Mayo,35625628,15488112,1261321,2594635,8105547,4058178,4117835
Junio,35989020,15014373,1476640,2241421,8881097,4489077,3886412
Julio,37276433,15555872,1376481,2547799,8810314,5128823,3857144
Agosto,37346435,16072347,1329802,2535323,9165292,4814590,3429081
Septiembre,39436172,16814745,1662165,2914413,8931812,5169290,3943747
Octubre,38700805,16194825,1612677,2734435,9127003,4938696,4093169
Noviembre,39379933,16712994,1580383,2967627,9168922,5182294,3767713
Diciembre,41395005,17326841,1697955,3099733,9074954,6061249,4134273
Enero,34018738,14642311,1411736,1967211,8250148,4524417,3222915
Febrero,35371909,15536825,1508203,2384903,8734575,3895497,3311906
Marzo,35268485,15379066,1549744,2580664,8589082,3671829,3498100
Abril,34314558,15166518,1441369,3215064,8337844,2751584,3402179
Mayo,36192155,15650923,1648582,3423397,8488619,3288131,3692503
Junio,36667893,16502430,1508245,3392478,8483278,3235269,3546193
Julio,36878752,16828702,1487993,3339793,8183808,3047008,3991448
Agosto,37743984,17622667,1665897,3051892,8316980,2964303,4122245
Septiembre,38570919,17187708,1520988,3408850,9141430,3087035,4224908
Octubre,40520733,19126401,1826131,3181149,9015275,3068234,4303543
Noviembre,42312518,20758966,1949971,3330818,8916914,2877359,4478490
Diciembre,45492867,21088070,2517616,3624760,10632198,2721616,4908607
Enero,37929280,17284300,1755211,3145626,9802882,2273710,3667551
Febrero,40156419,18710395,1739482,3470601,9632076,2246885,4356980
Marzo,39598758,18306792,1922521,3148103,10193486,1786886,4240970
Abril,39045606,18543145,1900929,3188830,8947576,1717099,4748027
Mayo,40006657,19140602,1525822,3374345,9593959,1758597,4613332
Junio,39362562,18827539,1361247,3208432,9053795,1827472,5084077
Julio,39963677,18502007,1710405,3295988,9172366,2181329,5101582
Agosto,41373452,19928857,1706705,2851245,9274773,2070538,5541334
Septiembre,41692688,20688536,1614084,2975719,9556182,1927619,4930548
Octubre,44348470,21181453,1715816,3921357,10248174,2131496,5150174
Noviembre,44610931,20433839,1732337,3405675,11189535,2445304,5404241
Diciembre,47348550,22055350,1804892,3838480,11428329,2771969,5449530
Enero,40160646,18329981,2228221,2915359,9870544,1812609,5003932
Febrero,40927240,18127504,2107660,3018113,10059412,1903513,5711038
Marzo,41928808,18797093,2242794,3534167,9704537,2002639,5647578
Abril,41609215,18631855,1743992,3352492,9642786,2122566,6115524
Mayo,44635031,20389962,1976283,3470283,10489509,1974090,6334904
Junio,43379467,19626663,2077957,3008821,10377507,1909417,6379102
Julio,43462214,19035424,1975754,3415979,10252734,1995810,6786513
Agosto,44436063,19899756,2089829,3753202,9731416,1934047,7027813
Septiembre,44113523,20232330,1966679,3348967,9786908,2359926,6418713
Octubre,45671581,20966987,2172702,3995553,9339774,2599892,6596673
Noviembre,45089560,19643736,2042448,4000155,9919593,2870085,6613543
Diciembre,47198027,21527771,2501730,5320331,9105230,2782815,5960150
Enero,42943066,20050115,1949771,3282956,9972700,2422106,5265418
Febrero,42960504,20012934,2254310,3208072,9390941,2700614,5393633
Marzo,42370931,19766641,2004709,3559733,9196776,2586722,5256350
Abril,41249799,19117571,1907278,3498439,8852533,2609016,5264962
Mayo,41222202,19299908,1903523,3398175,8911072,2783724,4925800
Junio,40952850,19160038,1740920,3504057,9035678,2744961,4767196
Julio,40586690,18883589,1719411,3376316,9073388,2750877,4783109
Agosto,40567135,18802724,1733452,3520456,8768985,3002415,4739103
Septiembre,40356308,19086000,1652756,3333813,9200668,2655601,4427470
Octubre,40635807,19086440,1580518,3392362,9328222,2422389,4825876
Noviembre,40461122,19416210,1686090,2909151,9108571,2381443,4959657
Diciembre,41461591,19705838,1707575,2915052,9674756,2469391,4988979
Enero  ,36031814,17703639,1363041,2418338,7684282,2265532,4596982
Febrero,36626861,18064797,1186512,2189154,8031054,2539702,4615642
Marzo,35779903,17218700,1434760,2157070,7836898,2452191,4680284
Abril,29071444,13553593,1093410,1857062,6195407,2360115,4011857
Mayo,27501186,12279956,958201,1809137,6478378,2155639,3819875
Junio,28460195,12880242,1078893,1720766,6653966,2313951,3812377
