,Periodo,Tipo,Valor
129,Septiembre,"Agua, riego y saneamiento",1520988
130,Octubre,"Agua, riego y saneamiento",1826131
131,Noviembre,"Agua, riego y saneamiento",1949971
132,Diciembre,"Agua, riego y saneamiento",2517616
133,Enero,"Agua, riego y saneamiento",1755211
134,Febrero,"Agua, riego y saneamiento",1739482
135,Marzo,"Agua, riego y saneamiento",1922521
136,Abril,"Agua, riego y saneamiento",1900929
137,Mayo,"Agua, riego y saneamiento",1525822
138,Junio,"Agua, riego y saneamiento",1361247
139,Julio,"Agua, riego y saneamiento",1710405
140,Agosto,"Agua, riego y saneamiento",1706705
141,Septiembre,"Agua, riego y saneamiento",1614084
142,Octubre,"Agua, riego y saneamiento",1715816
143,Noviembre,"Agua, riego y saneamiento",1732337
144,Diciembre,"Agua, riego y saneamiento",1804892
145,Enero,"Agua, riego y saneamiento",2228221
146,Febrero,"Agua, riego y saneamiento",2107660
147,Marzo,"Agua, riego y saneamiento",2242794
148,Abril,"Agua, riego y saneamiento",1743992
149,Mayo,"Agua, riego y saneamiento",1976283
150,Junio,"Agua, riego y saneamiento",2077957
151,Julio,"Agua, riego y saneamiento",1975754
152,Agosto,"Agua, riego y saneamiento",2089829
153,Septiembre,"Agua, riego y saneamiento",1966679
154,Octubre,"Agua, riego y saneamiento",2172702
155,Noviembre,"Agua, riego y saneamiento",2042448
156,Diciembre,"Agua, riego y saneamiento",2501730
157,Enero,"Agua, riego y saneamiento",1949771
158,Febrero,"Agua, riego y saneamiento",2254310
159,Marzo,"Agua, riego y saneamiento",2004709
160,Abril,"Agua, riego y saneamiento",1907278
161,Mayo,"Agua, riego y saneamiento",1903523
162,Junio,"Agua, riego y saneamiento",1740920
163,Julio,"Agua, riego y saneamiento",1719411
164,Agosto,"Agua, riego y saneamiento",1733452
165,Septiembre,"Agua, riego y saneamiento",1652756
166,Octubre,"Agua, riego y saneamiento",1580518
167,Noviembre,"Agua, riego y saneamiento",1686090
168,Diciembre,"Agua, riego y saneamiento",1707575
169,Enero  ,"Agua, riego y saneamiento",1363041
170,Febrero,"Agua, riego y saneamiento",1186512
171,Marzo,"Agua, riego y saneamiento",1434760
172,Abril,"Agua, riego y saneamiento",1093410
173,Mayo,"Agua, riego y saneamiento",958201
174,Junio,"Agua, riego y saneamiento",1078893
