"","gutenberg_id","palabra"
"299",1661,"memory"
"300",1661,"i"
"301",1661,"had"
"302",1661,"seen"
"303",1661,"little"
"304",1661,"of"
"305",1661,"holmes"
"306",1661,"lately"
"307",1661,"my"
"308",1661,"marriage"
"309",1661,"had"
"310",1661,"drifted"
"311",1661,"us"
"312",1661,"away"
"313",1661,"from"
"314",1661,"each"
"315",1661,"other"
"316",1661,"my"
"317",1661,"own"
"318",1661,"complete"
"319",1661,"happiness"
"320",1661,"and"
"321",1661,"the"
"322",1661,"home"
"323",1661,"centred"
"324",1661,"interests"
"325",1661,"which"
"326",1661,"rise"
"327",1661,"up"
"328",1661,"around"
"329",1661,"the"
"330",1661,"man"
"331",1661,"who"
"332",1661,"first"
"333",1661,"finds"
"334",1661,"himself"
"335",1661,"master"
"336",1661,"of"
"337",1661,"his"
"338",1661,"own"
"339",1661,"establishment"
"340",1661,"were"
"341",1661,"sufficient"
"342",1661,"to"
"343",1661,"absorb"
"344",1661,"all"
"345",1661,"my"
"346",1661,"attention"
"347",1661,"while"
"348",1661,"holmes"
"349",1661,"who"
"350",1661,"loathed"
"351",1661,"every"
"352",1661,"form"
"353",1661,"of"
"354",1661,"society"
"355",1661,"with"
"356",1661,"his"
"357",1661,"whole"
"358",1661,"bohemian"
"359",1661,"soul"
"360",1661,"remained"
"361",1661,"in"
"362",1661,"our"
"363",1661,"lodgings"
"364",1661,"in"
"365",1661,"baker"
"366",1661,"street"
"367",1661,"buried"
"368",1661,"among"
"369",1661,"his"
"370",1661,"old"
"371",1661,"books"
"372",1661,"and"
"373",1661,"alternating"
"374",1661,"from"
"375",1661,"week"
"376",1661,"to"
"377",1661,"week"
"378",1661,"between"
"379",1661,"cocaine"
"380",1661,"and"
"381",1661,"ambition"
"382",1661,"the"
"383",1661,"drowsiness"
"384",1661,"of"
"385",1661,"the"
"386",1661,"drug"
"387",1661,"and"
"388",1661,"the"
"389",1661,"fierce"
"390",1661,"energy"
"391",1661,"of"
"392",1661,"his"
"393",1661,"own"
"394",1661,"keen"
"395",1661,"nature"
"396",1661,"he"
"397",1661,"was"
"398",1661,"still"
"399",1661,"as"
"400",1661,"ever"
"401",1661,"deeply"
"402",1661,"attracted"
"403",1661,"by"
"404",1661,"the"
"405",1661,"study"
"406",1661,"of"
"407",1661,"crime"
"408",1661,"and"
"409",1661,"occupied"
"410",1661,"his"
"411",1661,"immense"
"412",1661,"faculties"
"413",1661,"and"
"414",1661,"extraordinary"
"415",1661,"powers"
"416",1661,"of"
"417",1661,"observation"
"418",1661,"in"
"419",1661,"following"
"420",1661,"out"
"421",1661,"those"
"422",1661,"clues"
"423",1661,"and"
"424",1661,"clearing"
"425",1661,"up"
"426",1661,"those"
"427",1661,"mysteries"
"428",1661,"which"
"429",1661,"had"
"430",1661,"been"
"431",1661,"abandoned"
"432",1661,"as"
"433",1661,"hopeless"
"434",1661,"by"
"435",1661,"the"
"436",1661,"official"
"437",1661,"police"
"438",1661,"from"
"439",1661,"time"
"440",1661,"to"
"441",1661,"time"
"442",1661,"i"
"443",1661,"heard"
"444",1661,"some"
"445",1661,"vague"
"446",1661,"account"
"447",1661,"of"
"448",1661,"his"
"449",1661,"doings"
"450",1661,"of"
"451",1661,"his"
"452",1661,"summons"
"453",1661,"to"
"454",1661,"odessa"
"455",1661,"in"
"456",1661,"the"
"457",1661,"case"
"458",1661,"of"
"459",1661,"the"
"460",1661,"trepoff"
"461",1661,"murder"
"462",1661,"of"
"463",1661,"his"
"464",1661,"clearing"
"465",1661,"up"
"466",1661,"of"
"467",1661,"the"
"468",1661,"singular"
"469",1661,"tragedy"
"470",1661,"of"
"471",1661,"the"
"472",1661,"atkinson"
"473",1661,"brothers"
"474",1661,"at"
"475",1661,"trincomalee"
"476",1661,"and"
"477",1661,"finally"
"478",1661,"of"
"479",1661,"the"
"480",1661,"mission"
"481",1661,"which"
"482",1661,"he"
"483",1661,"had"
"484",1661,"accomplished"
"485",1661,"so"
"486",1661,"delicately"
"487",1661,"and"
"488",1661,"successfully"
"489",1661,"for"
"490",1661,"the"
"491",1661,"reigning"
"492",1661,"family"
"493",1661,"of"
"494",1661,"holland"
"495",1661,"beyond"
"496",1661,"these"
"497",1661,"signs"
"498",1661,"of"
"499",1661,"his"
"500",1661,"activity"
"501",1661,"however"
"502",1661,"which"
"503",1661,"i"
"504",1661,"merely"
"505",1661,"shared"
"506",1661,"with"
"507",1661,"all"
"508",1661,"the"
"509",1661,"readers"
"510",1661,"of"
"511",1661,"the"
"512",1661,"daily"
"513",1661,"press"
"514",1661,"i"
"515",1661,"knew"
"516",1661,"little"
"517",1661,"of"
"518",1661,"my"
"519",1661,"former"
"520",1661,"friend"
"521",1661,"and"
"522",1661,"companion"
"523",1661,"one"
"524",1661,"night"
"525",1661,"it"
"526",1661,"was"
"527",1661,"on"
"528",1661,"the"
"529",1661,"twentieth"
"530",1661,"of"
"531",1661,"march"
"532",1661,"1888"
"533",1661,"i"
"534",1661,"was"
"535",1661,"returning"
"536",1661,"from"
"537",1661,"a"
"538",1661,"journey"
"539",1661,"to"
"540",1661,"a"
"541",1661,"patient"
"542",1661,"for"
"543",1661,"i"
"544",1661,"had"
"545",1661,"now"
"546",1661,"returned"
"547",1661,"to"
"548",1661,"civil"
"549",1661,"practice"
"550",1661,"when"
"551",1661,"my"
"552",1661,"way"
"553",1661,"led"
"554",1661,"me"
"555",1661,"through"
"556",1661,"baker"
"557",1661,"street"
"558",1661,"as"
"559",1661,"i"
"560",1661,"passed"
"561",1661,"the"
"562",1661,"well"
"563",1661,"remembered"
"564",1661,"door"
"565",1661,"which"
"566",1661,"must"
"567",1661,"always"
"568",1661,"be"
"569",1661,"associated"
"570",1661,"in"
"571",1661,"my"
"572",1661,"mind"
"573",1661,"with"
"574",1661,"my"
"575",1661,"wooing"
"576",1661,"and"
"577",1661,"with"
"578",1661,"the"
"579",1661,"dark"
"580",1661,"incidents"
"581",1661,"of"
"582",1661,"the"
"583",1661,"study"
"584",1661,"in"
"585",1661,"scarlet"
"586",1661,"i"
"587",1661,"was"
"588",1661,"seized"
"589",1661,"with"
"590",1661,"a"
"591",1661,"keen"
"592",1661,"desire"
"593",1661,"to"
"594",1661,"see"
"595",1661,"holmes"
"596",1661,"again"
"597",1661,"and"
"598",1661,"to"
"599",1661,"know"
"600",1661,"how"
"601",1661,"he"
"602",1661,"was"
"603",1661,"employing"
"604",1661,"his"
"605",1661,"extraordinary"
"606",1661,"powers"
"607",1661,"his"
"608",1661,"rooms"
"609",1661,"were"
"610",1661,"brilliantly"
"611",1661,"lit"
"612",1661,"and"
"613",1661,"even"
"614",1661,"as"
"615",1661,"i"
"616",1661,"looked"
"617",1661,"up"
"618",1661,"i"
"619",1661,"saw"
"620",1661,"his"
"621",1661,"tall"
"622",1661,"spare"
"623",1661,"figure"
"624",1661,"pass"
"625",1661,"twice"
"626",1661,"in"
"627",1661,"a"
"628",1661,"dark"
"629",1661,"silhouette"
"630",1661,"against"
"631",1661,"the"
"632",1661,"blind"
"633",1661,"he"
"634",1661,"was"
"635",1661,"pacing"
"636",1661,"the"
"637",1661,"room"
"638",1661,"swiftly"
"639",1661,"eagerly"
"640",1661,"with"
"641",1661,"his"
"642",1661,"head"
"643",1661,"sunk"
"644",1661,"upon"
"645",1661,"his"
"646",1661,"chest"
"647",1661,"and"
"648",1661,"his"
"649",1661,"hands"
"650",1661,"clasped"
"651",1661,"behind"
"652",1661,"him"
"653",1661,"to"
"654",1661,"me"
"655",1661,"who"
"656",1661,"knew"
"657",1661,"his"
"658",1661,"every"
"659",1661,"mood"
"660",1661,"and"
"661",1661,"habit"
"662",1661,"his"
"663",1661,"attitude"
"664",1661,"and"
"665",1661,"manner"
"666",1661,"told"
"667",1661,"their"
"668",1661,"own"
"669",1661,"story"
"670",1661,"he"
"671",1661,"was"
"672",1661,"at"
"673",1661,"work"
"674",1661,"again"
"675",1661,"he"
"676",1661,"had"
"677",1661,"risen"
"678",1661,"out"
"679",1661,"of"
"680",1661,"his"
"681",1661,"drug"
"682",1661,"created"
"683",1661,"dreams"
"684",1661,"and"
"685",1661,"was"
"686",1661,"hot"
"687",1661,"upon"
"688",1661,"the"
"689",1661,"scent"
"690",1661,"of"
"691",1661,"some"
"692",1661,"new"
"693",1661,"problem"
"694",1661,"i"
"695",1661,"rang"
"696",1661,"the"
"697",1661,"bell"
"698",1661,"and"
"699",1661,"was"
"700",1661,"shown"
"701",1661,"up"
"702",1661,"to"
"703",1661,"the"
"704",1661,"chamber"
"705",1661,"which"
"706",1661,"had"
"707",1661,"formerly"
"708",1661,"been"
"709",1661,"in"
"710",1661,"part"
"711",1661,"my"
"712",1661,"own"
